Date,Time,Location,Operator,Route,AC Type,Aboard,Aboard Passangers,Aboard Crew,Fatalities,Fatalities Passangers,Fatalities Crew,Ground,Summary,time_of_day,Fatalities_degree,date_time,year,month,Season,all_died,time_period,reasons
11/28/1916,23:45,"Off West Hartlepool, England",Military - German Navy,Test flight,Zeppelin L-34 (airship),20.0,0.0,19.0,20.0,0.0,19.0,0.0,Shot down by British anti-aircraft fire and aircraft and crashed into the North Sea.,Evening,20-50 Fatalities,1916-11-28 23:45:00,1916,November,Autumn,True,1908-1918,shot down by british antiaircraft fire and aircraft and crashed into the north sea
03/04/1917,23:45,"Near Gent, Belgium",Military - German Army,Test flight,Airship,20.0,0.0,19.0,20.0,0.0,19.0,0.0,Caught fire and crashed.,Afternoon,20-50 Fatalities,1917-03-04 23:45:00,1917,March,Spring,True,1908-1918,caught fire and crashed
03/30/1917,23:45,Off Northern Germany,Military - German Navy,Test flight,Schutte-Lanz S-L-9 (airship),23.0,0.0,19.0,23.0,0.0,19.0,0.0,Struck by lightning and crashed into the Baltic Sea.,Morning,20-50 Fatalities,1917-03-30 23:45:00,1917,March,Spring,True,1908-1918,struck by lightning and crashed into the baltic sea
05/14/1917,05:15,"Near Texel Island, North Sea",Military - German Navy,Test flight,Zeppelin L-22 (airship),21.0,0.0,19.0,21.0,0.0,19.0,0.0,"Crashed into the sea from an altitude of 3,000 ft. after being hit by British aircraft fire.",Night,20-50 Fatalities,1917-05-14 05:15:00,1917,May,Spring,True,1908-1918,crashed into the sea from an altitude of 3000 ft after being hit by british aircraft fire
06/14/1917,08:45,"Off Vlieland Island, North Sea",Military - German Navy,Test flight,Zeppelin L-43 (airship),24.0,0.0,19.0,24.0,0.0,19.0,0.0,Shot down by British aircraft.,Morning,20-50 Fatalities,1917-06-14 08:45:00,1917,June,Summer,True,1908-1918,shot down by british aircraft
06/17/1917,08:45,"Near Yarmouth, England",Military - German Navy,Test flight,Zepplin LZ-95 (air ship),16.0,0.0,19.0,14.0,0.0,19.0,0.0,Shot down by aircraft.,Morning,10-20 Fatalities,1917-06-17 08:45:00,1917,June,Summer,False,1908-1918,shot down by aircraft
08/21/1917,07:00,Off western Denmark,Military - German Navy,Test flight,Zeppelin L-23 (airship),18.0,0.0,19.0,18.0,0.0,19.0,0.0,Shot down by British aircraft.,Morning,10-20 Fatalities,1917-08-21 07:00:00,1917,August,Summer,True,1908-1918,shot down by british aircraft
10/20/1917,07:45,"Near Luneville, France",Military - German Navy,Test flight,Zeppelin L-44 (airship),18.0,0.0,19.0,18.0,0.0,19.0,0.0,Shot down by French anti-aircraft fire.,Morning,10-20 Fatalities,1917-10-20 07:45:00,1917,October,Autumn,True,1908-1918,shot down by french antiaircraft fire
04/07/1918,21:30,Over the Mediterranean,Military - German Navy,Test flight,Zeppelin L-59 (airship),23.0,0.0,19.0,23.0,0.0,19.0,0.0,Exploded and crashed into the sea off the southern coast of Italy.,Evening,20-50 Fatalities,1918-04-07 21:30:00,1918,April,Spring,True,1908-1918,exploded and crashed into the sea off the southern coast of italy
05/10/1918,21:30,"Off Helgoland Island, Germany",Military - German Navy,Test flight,Zeppelin L-70 (airship),22.0,0.0,19.0,22.0,0.0,19.0,0.0,"Shot down by British aircraft crashing from a height of 17,000 ft.",Afternoon,20-50 Fatalities,1918-05-10 21:30:00,1918,May,Spring,True,1908-1918,shot down by british aircraft crashing from a height of 17000 ft
08/11/1918,10:00,"Ameland Island, North Sea",Military - German Navy,Test flight,Zeppelin L-53 (airship),19.0,0.0,19.0,19.0,0.0,19.0,0.0,Shot down by british aircraft.,Morning,10-20 Fatalities,1918-08-11 10:00:00,1918,August,Summer,True,1908-1918,shot down by british aircraft
12/16/1918,10:00,"Elizabeth, New Jersey",US Aerial Mail Service,Test flight,De Havilland DH-4,1.0,0.0,1.0,1.0,0.0,1.0,0.0,Carl Smith was killed when his mail plane feet 500 feet while attempting to land. He tried to reposition the aircraft after the wind shifted and lost control of the plane and dived into the ground.,Morning,0-5 Fatalities,1918-12-16 10:00:00,1918,December,Winter,True,1908-1918,carl smith was killed when his mail plane feet 500 feet while attempting to land he tried to reposition the aircraft after the wind shifted and lost control of the plane and dived into the ground
05/25/1919,10:00,"Cleveland, Ohio",US Aerial Mail Service,Test flight,De Havilland DH-4,1.0,0.0,1.0,1.0,0.0,1.0,0.0,Caught fire in midair. The pilot leaped from the plane to his death as the plane began to go into a dive.,Afternoon,0-5 Fatalities,1919-05-25 10:00:00,1919,May,Spring,True,1908-1918,caught fire in midair the pilot leaped from the plane to his death as the plane began to go into a dive
07/19/1919,10:00,"Dix Run, Pennsylvania",US Aerial Mail Service,Test flight,De Havilland DH-4,1.0,0.0,1.0,1.0,0.0,1.0,0.0,The mail plane crashed under unknown circumstances.,Afternoon,0-5 Fatalities,1919-07-19 10:00:00,1919,July,Summer,True,1908-1918,the mail plane crashed under unknown circumstances
07/21/1919,16:55,"Chicago, Illinois",Wingfoot Air Express Goodyear Tire,Shuttle,FD Type Dirigible,1.0,0.0,1.0,3.0,2.0,1.0,10.0," The dirigible, cruising at 1,200 ft. caught fire and crashed into the Illinois Trust and Savings Building in Chicago. The was transporting people from Grant Park to the White City amusement park.[1] One crew member, two passengers, and ten bank employees were killed",Afternoon,0-5 Fatalities,1919-07-21 16:55:00,1919,July,Summer,False,1908-1918, the dirigible cruising at 1200 ft caught fire and crashed into the illinois trust and savings building in chicago the was transporting people from grant park to the white city amusement park1 one crew member two passengers and ten bank employees were killed
08/02/1919,16:55,"Verona, Italy",Caproni Company,Venice  Taliedo,Caproni Ca.48,14.0,12.0,2.0,14.0,12.0,2.0,0.0,As the plane was passing over Verona the wings began to flutter and then collapsed and crashed. Sources differ as to the number of deaths with some reporting 15 or 17.,Afternoon,10-20 Fatalities,1919-08-02 16:55:00,1919,August,Summer,True,1908-1918,as the plane was passing over verona the wings began to flutter and then collapsed and crashed sources differ as to the number of deaths with some reporting 15 or 17
10/02/1919,16:55,"Newcastle, England",Aircraft Transport and Travel,Venice  Taliedo,De Havilland DH-4,1.0,0.0,1.0,1.0,0.0,1.0,0.0,As the plane was passing over Verona the wings began to flutter and then collapsed and crashed. Sources differ as to the number of deaths with some reporting 15 or 17.,Afternoon,0-5 Fatalities,1919-10-02 16:55:00,1919,October,Autumn,True,1908-1918,as the plane was passing over verona the wings began to flutter and then collapsed and crashed sources differ as to the number of deaths with some reporting 15 or 17
10/14/1919,16:55,"Cantonsville, Maryland",US Aerial Mail Service,Venice  Taliedo,Curtiss R-4LM,1.0,0.0,1.0,1.0,0.0,1.0,0.0,"The pilot was performing a mail flight to Baltimore. While on final approach, in fog, the aircraft hit tree tops and crashed into the woods.",Afternoon,0-5 Fatalities,1919-10-14 16:55:00,1919,October,Autumn,True,1908-1918,the pilot was performing a mail flight to baltimore while on final approach in fog the aircraft hit tree tops and crashed into the woods
10/20/1919,16:55,"English Channel off Forkstone, Kent",Aircraft Transport and Travel,Venice  Taliedo,De Havilland DH-4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Crashed into the sea while attempting to land in fog.,Afternoon,0-5 Fatalities,1919-10-20 16:55:00,1919,October,Autumn,True,1908-1918,crashed into the sea while attempting to land in fog
10/30/1919,16:55,"Long Valley, New Jersey",US Aerial Mail Service,Venice  Taliedo,De Havilland DH.4,1.0,0.0,1.0,1.0,0.0,1.0,0.0,"While on a mail flight to New York the pilot encountered bad weather conditions and reduced his altitude to maintain a visual contact with the ground. Eventually, he decided to make an emergency landing in Long Valley, west of Newark. Aircraft hit the ground and crashed.",Afternoon,0-5 Fatalities,1919-10-30 16:55:00,1919,October,Autumn,True,1908-1918,while on a mail flight to new york the pilot encountered bad weather conditions and reduced his altitude to maintain a visual contact with the ground eventually he decided to make an emergency landing in long valley west of newark aircraft hit the ground and crashed
12/11/1919,16:55,"Catherham, Surrey, UK",Aircraft Travel Transport,Paris - Hounslow,de Havilland DH-4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Crashed in a field while attemptting to land.,Afternoon,0-5 Fatalities,1919-12-11 16:55:00,1919,December,Winter,True,1908-1918,crashed in a field while attemptting to land
03/10/1920,16:55,"New Paris, Indiana",US Aerial Mail Service,Paris - Hounslow,De Havilland DH-4,1.0,0.0,1.0,1.0,0.0,1.0,0.0,"While on a a mail flight, the aircraft hit trees in fog and crashed in a wooded area.",Afternoon,0-5 Fatalities,1920-03-10 16:55:00,1920,March,Spring,True,1919-1929,while on a a mail flight the aircraft hit trees in fog and crashed in a wooded area
03/30/1920,16:55,"Newark, New Jersey",US Aerial Mail Service,Washington - Newark,De Havilland DH-4,1.0,0.0,1.0,1.0,0.0,1.0,0.0,George Sherlock was killed when his mail plane crashed into a chimney while attempting to land at Heller Field in poor visibility.,Afternoon,0-5 Fatalities,1920-03-30 16:55:00,1920,March,Spring,True,1919-1929,george sherlock was killed when his mail plane crashed into a chimney while attempting to land at heller field in poor visibility
04/10/1920,16:55,"Newark, New Jersey",US Aerial Mail Service,Washington - Newark,Curtiss R-4LM,2.0,1.0,1.0,1.0,0.0,1.0,0.0,After a fire erupted in flight the pilot decided to make an emergency landing but the aircraft crashed.,Afternoon,0-5 Fatalities,1920-04-10 16:55:00,1920,April,Spring,False,1919-1929,after a fire erupted in flight the pilot decided to make an emergency landing but the aircraft crashed
04/11/1920,16:55,"Heller Field, New Jersey",US Aerial Mail Service,Washington - Newark,Curtiss JN-4H,2.0,1.0,1.0,1.0,0.0,1.0,0.0,The aircraft crashed while on approach for unknown reasons.,Afternoon,0-5 Fatalities,1920-04-11 16:55:00,1920,April,Spring,False,1919-1929,the aircraft crashed while on approach for unknown reasons
05/12/1920,16:55,"Oskaloosa, Iowa",US Aerial Mail Service,Washington - Newark,De Havilland DH-4,2.0,1.0,1.0,1.0,1.0,0.0,0.0,"In worsening weather conditions, the pilot lost his sense of orientation and crashed in a field.",Afternoon,0-5 Fatalities,1920-05-12 16:55:00,1920,May,Spring,False,1919-1929,in worsening weather conditions the pilot lost his sense of orientation and crashed in a field
06/06/1920,16:55,"Cleveland, Ohio",US Aerial Mail Service,Washington - Newark,De Havilland DH-4,1.0,0.0,1.0,1.0,0.0,1.0,0.0,The aircraft suffered engine failure and crashed shortly after taking off.,Afternoon,0-5 Fatalities,1920-06-06 16:55:00,1920,June,Summer,True,1919-1929,the aircraft suffered engine failure and crashed shortly after taking off
07/20/1920,16:55,"Cartagena, Columbia",Compañia Colombiana de Navegación Aérea,Washington - Newark,Farman F-40,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Crashed while taking off after engine failure. Engine failure due to fuel exhaustion.,Afternoon,0-5 Fatalities,1920-07-20 16:55:00,1920,July,Summer,True,1919-1929,crashed while taking off after engine failure engine failure due to fuel exhaustion
08/16/1920,16:55,"Bedford, England",By Air,Washington - Newark,Armstrong-Whitworth F-K-8,1.0,0.0,1.0,1.0,0.0,1.0,0.0,The plane crashed during a cargo flight under unknown circumstances.,Afternoon,0-5 Fatalities,1920-08-16 16:55:00,1920,August,Summer,True,1919-1929,the plane crashed during a cargo flight under unknown circumstances
08/16/1920,16:55,"College Park, Maryland",US Aerial Mail Service,Washington - Newark,De Havilland DH-4,1.0,0.0,1.0,1.0,0.0,1.0,0.0,"While approaching in poor visibility to land, the plane hit a radio mast and crashed in flames.",Afternoon,0-5 Fatalities,1920-08-16 16:55:00,1920,August,Summer,True,1919-1929,while approaching in poor visibility to land the plane hit a radio mast and crashed in flames
09/01/1920,16:55,"Morristown, New Jersey",US Aerial Mail Service,Washington - Newark,Junkers JL-6,2.0,0.0,2.0,2.0,0.0,2.0,0.0,"While en route, the mail plane went out of control and crashed after experiencing an in flight fire.",Afternoon,0-5 Fatalities,1920-09-01 16:55:00,1920,September,Autumn,True,1919-1929,while en route the mail plane went out of control and crashed after experiencing an in flight fire
09/15/1920,16:55,"Pemberville, Ohio",US Aerial Mail Service,Washington - Newark,Junkers F-13,2.0,0.0,2.0,2.0,0.0,2.0,0.0,The pilot crashed after attempting to make an emergency landing after the engine caught fire.,Afternoon,0-5 Fatalities,1920-09-15 16:55:00,1920,September,Autumn,True,1919-1929,the pilot crashed after attempting to make an emergency landing after the engine caught fire
09/27/1920,16:55,"Hillersburg, Pennsylvania",US Aerial Mail Service,Washington - Newark,De Havilland DH-4,1.0,0.0,1.0,1.0,0.0,1.0,0.0,The plane struck power lines and crashed in flames after flying at a low altitude in poor visibility.,Afternoon,0-5 Fatalities,1920-09-27 16:55:00,1920,September,Autumn,True,1919-1929,the plane struck power lines and crashed in flames after flying at a low altitude in poor visibility
10/02/1920,16:55,"Off Port Vendres, France",Latecoere Airlines,Washington - Newark,Salmson 2-A-2,2.0,1.0,1.0,2.0,1.0,1.0,0.0,Crashed into the Mediterranean while on a mail flight.,Afternoon,0-5 Fatalities,1920-10-02 16:55:00,1920,October,Autumn,True,1919-1929,crashed into the mediterranean while on a mail flight
10/05/1920,16:55,"Valencia, Spain",Latecoere Airlines,Washington - Newark,Breguet 14,2.0,1.0,1.0,2.0,1.0,1.0,0.0,While on a mail flight the plane crashed while attempting to land.,Afternoon,0-5 Fatalities,1920-10-05 16:55:00,1920,October,Autumn,True,1919-1929,while on a mail flight the plane crashed while attempting to land
10/15/1920,16:55,"Batavia, Illinois",US Aerial Mail Service,Washington - Newark,De Havilland DH-4,1.0,0.0,1.0,1.0,0.0,1.0,0.0,While attempting to land in fog the aircraft hit an obstruction and crashed.,Afternoon,0-5 Fatalities,1920-10-15 16:55:00,1920,October,Autumn,True,1919-1929,while attempting to land in fog the aircraft hit an obstruction and crashed
11/07/1920,16:55,"Tie Siding, Wyoming",US Aerial Mail Service,Washington - Newark,De Havilland DH-4,1.0,0.0,1.0,1.0,0.0,1.0,0.0,The aircraft crashed into a mountain in poor weather condtions.,Afternoon,0-5 Fatalities,1920-11-07 16:55:00,1920,November,Autumn,True,1919-1929,the aircraft crashed into a mountain in poor weather condtions
12/14/1920,12:15,"London, England",Handley Page Transport,London - Paris,Handley Page HP-16,8.0,6.0,2.0,4.0,2.0,2.0,0.0,The plane failed to gain altitude after taking off from Criclklewood and crashed into a tree and a house. Pilot error in taking off towards a hill in unfavorable wind conditions and fog.The first commercial air disaster to result in passenger fatalities during a regularly scheduled service..,Afternoon,0-5 Fatalities,1920-12-14 12:15:00,1920,December,Winter,False,1919-1929,the plane failed to gain altitude after taking off from criclklewood and crashed into a tree and a house pilot error in taking off towards a hill in unfavorable wind conditions and fogthe first commercial air disaster to result in passenger fatalities during a regularly scheduled service
12/24/1920,12:15,"Barcelona, Spain",Aeropostale,London - Paris,Breguet 14,1.0,0.0,1.0,1.0,0.0,1.0,0.0,The aircraft stalled and crashed when an engine failed.,Afternoon,0-5 Fatalities,1920-12-24 12:15:00,1920,December,Winter,True,1919-1929,the aircraft stalled and crashed when an engine failed
02/03/1921,12:15,"Mendotta, Minnisota",US Aerial Mail Service,London - Paris,De Havilland DH-4,1.0,0.0,1.0,1.0,0.0,1.0,0.0,Shortly after takeoff from Minneapolis-World Chamberlain Field the engine failed. The aircraft lost altitude and crashed  in a field.,Afternoon,0-5 Fatalities,1921-02-03 12:15:00,1921,February,Winter,True,1919-1929,shortly after takeoff from minneapolisworld chamberlain field the engine failed the aircraft lost altitude and crashed  in a field
02/09/1921,12:15,"La Crosse, Wisconsin",US Aerial Mail Service,London - Paris,Junkers F-13,3.0,0.0,3.0,3.0,0.0,3.0,0.0,Crashed for unknown reasons. Both pilots and the mechanic were killed.,Afternoon,0-5 Fatalities,1921-02-09 12:15:00,1921,February,Winter,True,1919-1929,crashed for unknown reasons both pilots and the mechanic were killed
02/15/1921,12:15,Off Gibraltar,Aeropostale,London - Paris,Breguet 14,2.0,0.0,2.0,2.0,0.0,2.0,0.0,The mail fligh encountered poor weather conditions and crashed into the ocean while on approach to Gibraltar. The bodies of the crew were never recovered.,Afternoon,0-5 Fatalities,1921-02-15 12:15:00,1921,February,Winter,True,1919-1929,the mail fligh encountered poor weather conditions and crashed into the ocean while on approach to gibraltar the bodies of the crew were never recovered
02/22/1921,12:15,"Elko, Nevada",US Aerial Mail Service,London - Paris,De Havilland DH-4,1.0,0.0,1.0,1.0,0.0,1.0,0.0,"Shortly after taking off, the aircraft stalled and crashed .",Afternoon,0-5 Fatalities,1921-02-22 12:15:00,1921,February,Winter,True,1919-1929,shortly after taking off the aircraft stalled and crashed 
04/06/1921,12:15,"Point Cook, Australia",Military - Royal Australian Air Force,London - Paris,  	 Avro 504,2.0,0.0,0.0,2.0,0.0,0.0,0.0,"Shortly after taking off on a training flight, the aircraft dove into the ground and exploded in flames.",Afternoon,0-5 Fatalities,1921-04-06 12:15:00,1921,April,Spring,True,1919-1929,shortly after taking off on a training flight the aircraft dove into the ground and exploded in flames
04/21/1921,12:15,"Mitchel Field, NY",US Aerial Mail Service,London - Paris,De Havilland DH-4,1.0,0.0,1.0,1.0,0.0,1.0,0.0,After taking off the aircraft stalled and crashed.,Afternoon,0-5 Fatalities,1921-04-21 12:15:00,1921,April,Spring,True,1919-1929,after taking off the aircraft stalled and crashed
04/29/1921,12:15,"Cleveland, Ohio",US Aerial Mail Service,London - Paris,De Havilland DH-4,1.0,0.0,1.0,1.0,0.0,1.0,0.0,"The aircraft crashed in a field, short of the runway, a few minutes before its scheduled arrival in Cleveland. The weather was poor with fog.",Afternoon,0-5 Fatalities,1921-04-29 12:15:00,1921,April,Spring,True,1919-1929,the aircraft crashed in a field short of the runway a few minutes before its scheduled arrival in cleveland the weather was poor with fog
05/17/1921,12:15,"Rock Springs, Wyoming",US Aerial Mail Service,London - Paris,De Havilland DH-4 De Havilland DH-4,1.0,0.0,1.0,1.0,0.0,1.0,0.0,Crashed while attempting to land.,Afternoon,0-5 Fatalities,1921-05-17 12:15:00,1921,May,Spring,True,1919-1929,crashed while attempting to land
08/14/1921,12:15,"Toulouse, France",Aeropostale,London - Paris,Breguet 14,2.0,0.0,1.0,2.0,0.0,1.0,0.0,Crashed while attempting to land.,Afternoon,0-5 Fatalities,1921-08-14 12:15:00,1921,August,Summer,True,1919-1929,crashed while attempting to land
08/24/1921,17:40,"River Humber, England",Military - Royal Airship Works,London - Paris,Royal Airship Works ZR-2 (airship),46.0,0.0,46.0,46.0,0.0,46.0,1.0,Crashed due to structural failure followed by two explosions and a fire. Attributed to faulty design.,Afternoon,20-50 Fatalities,1921-08-24 17:40:00,1921,August,Summer,True,1919-1929,crashed due to structural failure followed by two explosions and a fire attributed to faulty design
09/06/1921,17:40,"Paris, France",Franco-Roumaine,Warsaw - Prague - Strasbourg - Paris,Potez IX,5.0,4.0,1.0,5.0,4.0,1.0,0.0,Crashed while making an approach to Le Bourget Airport in Paris. Pilot aborted the landing due to another aircraft on the runway.,Afternoon,5-10 Fatalities,1921-09-06 17:40:00,1921,September,Autumn,True,1919-1929,crashed while making an approach to le bourget airport in paris pilot aborted the landing due to another aircraft on the runway
12/05/1921,17:40,"Near Murchinson River, Australia",West Australian Airways,Geraldton - Derby,Bristol 28 Tourer,2.0,0.0,2.0,2.0,0.0,2.0,0.0,On approach to Geraldton the plane crashed near the Murchinson River. Considered the first commercial flight in Australila.,Afternoon,0-5 Fatalities,1921-12-05 17:40:00,1921,December,Winter,True,1919-1929,on approach to geraldton the plane crashed near the murchinson river considered the first commercial flight in australila
01/14/1922,17:40,"Paris, France",Handley Page Transport,Geraldton - Derby,Handley Page O/10,5.0,4.0,1.0,5.0,4.0,1.0,5.0,Crashed at Le Bourget field.,Afternoon,5-10 Fatalities,1922-01-14 17:40:00,1922,January,Winter,True,1919-1929,crashed at le bourget field
02/21/1922,17:40,"Near Norfolk, Virginia",Military - U.S. Army Air Service,Geraldton - Derby,Dirigible Roma (airship),45.0,4.0,1.0,34.0,4.0,1.0,0.0,Crashed from a height of 500 ft. after experiencing control problems cause by malfunctioning controls.,Afternoon,20-50 Fatalities,1922-02-21 17:40:00,1922,February,Winter,False,1919-1929,crashed from a height of 500 ft after experiencing control problems cause by malfunctioning controls
03/22/1922,11:40,North Atlantic Ocean,Aero Limited,Miami - Bimini,Aeromarine Model 85 (flying boat),6.0,5.0,1.0,5.0,5.0,0.0,0.0,"The plane ditched into the ocean about 40 miles East of Florida after a propeller blade broke. Only the pilot survived, being picked up over 2 days later. The flying boat was named Miss Miami.",Morning,5-10 Fatalities,1922-03-22 11:40:00,1922,March,Spring,False,1919-1929,the plane ditched into the ocean about 40 miles east of florida after a propeller blade broke only the pilot survived being picked up over 2 days later the flying boat was named miss miami
04/07/1922,13:15,"Grandvilliers, France",Daimler Airways / Grands Express Aeriens,Croydon - Le Bourget,de Havilland DH-18 / Farman F-60 Goliath,7.0,5.0,2.0,7.0,5.0,2.0,0.0,"A midair collision occurred at 400 ft. in poor visibility approximately 18 miles north of Beauvais, France. The pilots of both planes were using the road as a route marker in bad weather and poor visibility. This was the  first commercial midair collision in aviation history. Two killed on the de Havilland, five on the Faman F-60.",Afternoon,5-10 Fatalities,1922-04-07 13:15:00,1922,April,Spring,True,1919-1929,a midair collision occurred at 400 ft in poor visibility approximately 18 miles north of beauvais france the pilots of both planes were using the road as a route marker in bad weather and poor visibility this was the  first commercial midair collision in aviation history two killed on the de havilland five on the faman f60
04/08/1922,13:15,"Pao Ting Fou, China",Daimler Airways / Grands Express Aeriens,Test,de Havilland DH-18 / Farman F-60 Goliath,17.0,0.0,17.0,17.0,0.0,17.0,0.0,Aboard were all workers taking part in a flight test. All seventeen aboard were Chinese nationals.,Afternoon,10-20 Fatalities,1922-04-08 13:15:00,1922,April,Spring,True,1919-1929,aboard were all workers taking part in a flight test all seventeen aboard were chinese nationals
06/03/1922,13:15,"Off Folkestone, Kent, England",Cie des Messageries Aeriennes,Croydon - Paris,Bleriot Spad 27,3.0,2.0,1.0,3.0,2.0,1.0,0.0,Went down into the English Channel while en route.,Afternoon,0-5 Fatalities,1922-06-03 13:15:00,1922,June,Summer,True,1919-1929,went down into the english channel while en route
